"FailureID","Loco","Date","Equipment","Label","Confidence","FailureSummary"
"4679812","30365","31/12/2024","Traction Motor G9P7","LEVEL_2","HIGH","DE side  winding flashed; LP INFORMED  AT KM/NO-238/17 BETWEEN BLS-NGRD AT 03.00 HRS SMOKE FOUND IN TM-3. F/M-F0213P2 APPEARED. TRAIN STOPPED AT 00.00 HRS, THEN BOGIE-1 ISOLATED, MCE ON, TRAIN STARTED AT 00.07 HRS. CLI J K NAYAK F/PLATE IN LOCO. AGAIN LP INFORMED TO TLC SOME VIBRATION SOUND FOUND IN REAR TM-3. TRAIN CONTROLLED AT SFO M/L BUT NO ABNORMALITY  FOUND. TRAIN STOPPED AT SFO M/L AT 00.34 - 00.37 HRS. THEN TRAIN STARTED. Loco arrived at ELS/GZB on 11.01.25. TM-3 checked found winding bu"
"4664942","43276","24/12/2024","Traction Motor G9P7","LEVEL_2","HIGH","TM torque arm bolt; TM-1 arm torque upper bolt missing. Conclusion:- Probably during fitment of TM-01 torque arm bolts were not properly tightened, caused above trouble.  TM torque arm bolt"
"4650283","37619","17/12/2024","Traction Motor G9P7","LEVEL_1","HIGH","TM bearing seized; As per LP CTO at DDU Bogie-2 isolated condition. DDU/TLC inform  to TLC/DHN at time 06.00.TLC/DHN advice to TLC/DDU loco change at DDU.As per TLC/DDU  no loco available at GYA or DDU. So bogie-2 isolated condition proceed (Bogie-2 isolated at PM/Dli/NR) give message F0306P1 and MCB 63.1/2.Trip due SR2 oil pressure 0.1kg/cm² showing finally bogie-2 isolated. After rrival DDU, as per TLC/DDU three time CE off and BA off on date - 16.12.24 but not success.                        "
"4649392","30751","17/12/2024","Traction Motor G9P7","LEVEL_1","HIGH","TM bearing seized; System: Analysis Not Required   TM bearing seized"
"4648950","43016","16/12/2024","Traction Motor G9P7","LEVEL_1","HIGH","TM bearing seized; RESOLVED TM-1 labyrinth came out.  TM bearing seized"
"4645469","43368","14/12/2024","Traction Motor G9P7","LEVEL_1","HIGH","Outer Labrynth Displaced/ Rubbing (Reqd. to add in Bearing); 1ST INFORMATION BY LP OVER CUG AT 01:46 HRS. SWR THROUGH PASS AT 01:12 HRS (FROM DN LINE TO 3RD LINE). LPH THROUGH PASS  AT 01:22 HRS. WHILE LPH PASSING LP EXPERIENCE TM-1 ISOLATE. BETWEEN LPH- CKP , LP EXPERIENCE BURNING SMELL COMING FROM UNDERGEAR. SAME CONDITION  CKP ARRIVAL AT 01:35 HRS AT PF/NO-3 (L/NO-4). ON CHECKING FOUND AXLE NO-1  LOCKED. LP DEMAND RELIEF LOCO AT 01:50 HRS. DSL LOCO NO - 12612/BNDX ATTACHED IN REAR AT 03:05 HR"
"4639920","32281","12/12/2024","Traction Motor G9P7","LEVEL_1","HIGH","Pinion shaft broken; O/G LP CTO at GAYA W/C at 07/00 hrs,DEP- 07/54, After DEP, LP reported to TLC/DDU that,On run, abnormal sound come from under frame (near w/no- 12), so LP stop the train at KSTA from 08:15- 08:17 hrs on through signal. Then check & found that in TM-6 net, some stone pack.TLC/DDDU advice to GC-2 & LP that this train will run in IR for check at DDU/YD, but CPBH H/S off from 10/47-10/55 for DFCC,then S/P/B- 10:56 & again S/L- 11:05 for I/R , As per GC-1 board, PSE station repor"
"4635100","37282","10/12/2024","Traction Motor G9P7","LEVEL_1","HIGH","TM bearing seized; (LP try to release by DV, release spindle & both bogie coc closed, also coc no. 94 closed but not success. Traction Bogie-2 isolate but not success. Then at 04.42, LP removed brake block HWH/End of Wheel no. 12 with the help of hammer & chisel. At 04.46, CLI/TDL Sri G. P. Singh reached at site by 12303 and reported that Wheel no. 12 is not moving (i.e. axle no. 6) & reported axle no. 6 locked & material chipped on Wheel no. 12. Hence EP withdrawal at 05.00 & CLI/TDL Sri Badri "
"4616384","39117","30/11/2024","Traction Motor G9P7","LEVEL_2","HIGH","DE side  winding flashed; Train arrived at DDU PF no.03 at 21:41 hrs, S/L- 21:55,dep- 22:00.Train stopped, after passing Str.Signal at 22:01 due to TM-03 fire. LP used Fire extinguisher then fire vanished. Loco back start at 22:17 & arrived under str sig at 22:20 hrs. loco detach at 22:29  & send to O/S. Loco no.32875/DDU offer ex E/B/L at 22:06. O/L- 22:40 hrs, P/R- 22:50, S/L- 22:58,dep- 22:59 hrs. As per LI/DDU, smoke emission from TM-3. After arrival of loco at ELS/GMO, TM-3 taken out from s"
"4616355","30341","30/11/2024","Traction Motor G9P7","LEVEL_1","HIGH","Outer Labrynth Displaced/ Rubbing (Reqd. to add in Bearing); System: Analysis Not Required Observation/Investigation: Failed TM (TM6) dismantled at EDE. The following points observed.  DE outer labyrinth came out from its seating area and rotated in its seating area of shaft. Pinion came out from its initial fitted position about 5.5mm. Roller cage was not having any breakage and deformation.  End frame bore and outer race OD have slight scoring mark. Inner race having Impression of rollers.  & "
